antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
has_weapon,"crime_VIOLENT, time_Night",0.330715,0.080575,0.080495,0.24339688251213282,3.0207493951242053,1.0,0.053847638875,1.2152011784629528,0.999508906841552,0.24333801901479768,0.17709098894649677,0.6212020093603171
"time_Evening, has_weapon",crime_VIOLENT,0.07281,0.24984,0.05493,0.7544293366295839,3.0196499224687154,1.0,0.0367391496,3.054762281879195,0.7213578486876915,0.20517705064993275,0.6726422851519462,0.48714502374226554
crime_VIOLENT,"time_Evening, has_weapon",0.24984,0.07281,0.05493,0.21986071085494716,3.0196499224687154,1.0,0.0367391496,1.188492892104048,0.8915908389206844,0.20517705064993275,0.15859824939327122,0.48714502374226554
crime_VIOLENT,"premis_RESIDENTIAL, has_weapon",0.24984,0.1176,0.08851,0.3542667307076529,3.012472199895008,1.0,0.059128816,1.366508498109465,0.8905389905928643,0.31731975764528736,0.2682079903758533,0.5534513925647109
"premis_RESIDENTIAL, has_weapon",crime_VIOLENT,0.1176,0.24984,0.08851,0.7526360544217687,3.0124721998950075,1.0,0.059128816,3.0326165692677898,0.7570792488476238,0.31731975764528736,0.670251752188558,0.5534513925647109
"time_Afternoon, has_weapon",crime_VIOLENT,0.08509,0.24984,0.06308,0.7413327065460101,2.967229853290146,1.0,0.0418211144,2.900096065424807,0.7246454039954046,0.23203972779106122,0.6551838361762959,0.4969071473812343
crime_VIOLENT,"time_Afternoon, has_weapon",0.24984,0.08509,0.06308,0.2524815882164585,2.9672298532901458,1.0,0.0418211144,1.2239297194260013,0.8837918931553745,0.23203972779106122,0.18295962249451694,0.4969071473812343
"time_Morning, has_weapon",crime_VIOLENT,0.07007,0.24984,0.051175,0.7303410874839447,2.923235220476884,1.0,0.0336687112,2.781884689071183,0.7074868671137876,0.1904292332595307,0.6405314699316742,0.46758608969137994
crime_VIOLENT,"time_Morning, has_weapon",0.24984,0.07007,0.051175,0.20483109189881524,2.923235220476884,1.0,0.0336687112,1.1694748002919488,0.8770305832557382,0.1904292332595307,0.14491530749498913,0.46758608969137994
arrested,has_weapon,0.09026,0.330715,0.057285,0.6346665189452692,1.9190738821803341,1.0,0.027434664100000002,1.8319837482941619,0.5264309801611111,0.1575105171987132,0.4541436293137739,0.40394106377543304
has_weapon,arrested,0.330715,0.09026,0.057285,0.17321560860559698,1.9190738821803341,1.0,0.027434664100000002,1.1003352379036682,0.715562607695928,0.1575105171987132,0.09118606261744781,0.40394106377543304
